Club,Name,League,Count
Sarpsborg_08_FF,Sarpsborg 08 FF,Eliteserien,4
Diambars_FC,Diambars FC,Senegal Premier League,4
HNK_Gorica,HNK Gorica,Croatian Football League,4
Millonarios_F.C.,Millonarios F.C.,Categoría Primera A,4
Am%C3%A9rica_de_Cali,América de Cali,Categoría Primera A,4
PFC_Lokomotiv_Tashkent,PFC Lokomotiv Tashkent,Uzbekistan Super League,4
C.D._Plaza_Amador,C.D. Plaza Amador,Liga Panameña de Fútbol,4
SK_Sigma_Olomouc,SK Sigma Olomouc,Czech First League,3
FK_Jablonec,FK Jablonec,Czech First League,3
FK_Teplice,FK Teplice,Czech First League,3
FK_Viktoria_%C5%BDi%C5%BEkov,FK Viktoria Žižkov,Czech National Football League,3
FC_Lokomotiv_Moscow,FC Lokomotiv Moscow,Russian Premier League,3
FK_Mlad%C3%A1_Boleslav,FK Mladá Boleslav,Czech First League,3
SK_Dynamo_%C4%8Cesk%C3%A9_Bud%C4%9Bjovice,SK Dynamo České Budějovice,Bohemian Football League,3
Santos_Laguna,Santos Laguna,Liga MX,3
AC_Ajaccio,AC Ajaccio,Régional 1,3
Club_Puebla,Club Puebla,Liga MX,3
Mazatl%C3%A1n_F.C.,Mazatlán F.C.,Liga MX,3
TS_Galaxy_F.C.,TS Galaxy F.C.,South African Premiership,3
Stellenbosch_F.C.,Stellenbosch F.C.,South African Premiership,3
Lamontville_Golden_Arrows_F.C.,Lamontville Golden Arrows F.C.,South African Premiership,3
Al_Shabab_FC_(Riyadh),Al Shabab Club,Saudi Pro League,3
Gangwon_FC,Gangwon FC,K League 1,3
CF_Peralada,CF Peralada,Tercera Federación,3
Shonan_Bellmare,Shonan Bellmare,J2 League,3
Busan_IPark,Busan IPark,K League 2,3
Daejeon_Hana_Citizen,Daejeon Hana Citizen,Unknown,3
Ulsan_HD_FC,Ulsan HD FC,Unknown,3
1._FC_K%C3%B6ln_II,1. FC Köln II,Regionalliga West,3
FK_Partizan,FK Partizan,Serbian SuperLiga,3
Gaziantep_F.K.,Gaziantep F.K.,Süper Lig,3
Juventus_Next_Gen,Juventus Next Gen,Serie C,3
NK_Lokomotiva_Zagreb,NK Lokomotiva Zagreb,Croatian Football League,3
Konyaspor,Konyaspor,Süper Lig,3
Plymouth_Argyle_F.C.,Plymouth Argyle F.C.,EFL League One,3
New_England_Revolution,New England Revolution,Major League Soccer,3
Grasshopper_Club_Zurich,Grasshopper Club Zurich,Swiss Super League,3
S.C.U._Torreense,S.C.U. Torreense,Liga Portugal 2,3
Sigma_FC,Sigma FC,Ontario Premier League,3
Charlton_Athletic_F.C.,Charlton Athletic F.C.,EFL Championship,3
Preston_North_End_F.C.,Preston North End F.C.,EFL Championship,3
Huddersfield_Town_A.F.C.,Huddersfield Town A.F.C.,EFL League One,3
Orlando_City_B,Orlando City B,MLS Next Pro,3
Al_Ahli_SC_(Doha),Al Ahli SC (Doha),Qatar Stars League,3
Al-Shamal_SC,Al-Shamal SC,Qatar Stars League,3
AS_Nancy_Lorraine,AS Nancy Lorraine,Ligue 2,3
Al_Duhail_SC,Al Duhail SC,Unknown,3
Servette_FC,Servette FC,Swiss Super League,3
SC_Internacional,SC Internacional,Campeonato Brasileiro Série A,3
ES_Troyes_AC,ES Troyes AC,Ligue 1,3
S%C3%A3o_Paulo_FC,São Paulo FC,Campeonato Brasileiro Série A,3
Gr%C3%AAmio_FBPA,Grêmio FBPA,Campeonato Brasileiro Série A,3
Botafogo_FR,Botafogo FR,Campeonato Brasileiro Série A,3
Cruzeiro_Esporte_Clube,Cruzeiro Esporte Clube,Unknown,3
CR_Vasco_da_Gama,CR Vasco da Gama,Campeonato Brasileiro Série A,3
En_Avant_Guingamp,En Avant Guingamp,Ligue 2,3
SC_Bastia,SC Bastia,Ligue 2,3
Phoenix_Rising_FC,Phoenix Rising FC,USL Championship,3
Royal_Excel_Mouscron,Royal Excel Mouscron,Belgian Pro League,3
Wydad_AC,Wydad AC,Botola Pro,3
Al_Fateh_SC,Al Fateh SC,Saudi Pro League,3
Al_Ain_FC,Al Ain FC,UAE Pro League,3
RS_Berkane,RS Berkane,Botola Pro,3
K.V._Mechelen,KV Mechelen,Belgian Pro League,3
Queen%27s_Park_F.C.,Queen's Park F.C.,Scottish Championship,3
Hibernian_F.C.,Hibernian F.C.,Scottish Premiership,3
Queens_Park_Rangers_F.C.,Queens Park Rangers F.C.,EFL Championship,3
Motherwell_F.C.,Motherwell F.C.,Scottish Premiership,3
Shrewsbury_Town_F.C.,Shrewsbury Town F.C.,EFL League Two,3
Portsmouth_F.C.,Portsmouth F.C.,EFL Championship,3
Sheffield_Wednesday_F.C.,Sheffield Wednesday F.C.,EFL League One,3
Rotherham_United_F.C.,Rotherham United F.C.,EFL League Two,3
K_Beerschot_VA,K Beerschot VA,Challenger Pro League,3
Levante_UD,Levante UD,La Liga,3
Parma_Calcio_1913,Parma Calcio 1913,Serie A,3
Melbourne_City_FC_Youth,Melbourne City FC Youth,Victoria Premier League 1,3
Hertha_BSC_II,Hertha BSC II,Regionalliga Nordost,3
Sydney_FC,Sydney FC,A-League Men,3
Newcastle_Jets_FC,Newcastle Jets FC,A-League Men,3
Giresunspor,Giresunspor,Turkish Regional Amateur League,3
Salford_City_F.C.,Salford City F.C.,EFL League Two,3
Accrington_Stanley_F.C.,Accrington Stanley F.C.,EFL League Two,3
Northampton_Town_F.C.,Northampton Town F.C.,EFL League Two,3
Estudiantes_de_La_Plata,Estudiantes de La Plata,Primera División,3
San_Lorenzo_de_Almagro,San Lorenzo de Almagro,Primera División,3
Godoy_Cruz_Antonio_Tomba,Godoy Cruz Antonio Tomba,Primera Nacional,3
Real_Salt_Lake,Real Salt Lake,Major League Soccer,3
Club_Atl%C3%A9tico_Independiente,Club Atlético Independiente,Primera División,3
Alanyaspor,Alanyaspor,Süper Lig,3
Gen%C3%A7lerbirli%C4%9Fi_S.K.,Gençlerbirliği S.K.,Süper Lig,3
SK_Rapid_Wien,SK Rapid Wien,Austrian Bundesliga,3
Charlotte_FC,Charlotte FC,Major League Soccer,3
VVV-Venlo,VVV-Venlo,Eerste Divisie,3
Antalyaspor,Antalyaspor,TFF 1. Lig,3
Jong_FC_Twente,Jong FC Twente,Eerste Divisie,3
FC_Volendam,FC Volendam,Eerste Divisie,3
VfL_Bochum,VfL Bochum,2. Bundesliga,3
SC_Telstar,SC Telstar,Eredivisie,3
C.D._Nacional,C.D. Nacional,Primeira Liga,3
Umm_Salal_SC,Umm Salal SC,Qatar Stars League,3
Luton_Town_F.C.,Luton Town F.C.,EFL League One,3
C.D._Independiente_Juniors,C.D. Independiente Juniors,Serie B,3
Real_Sociedad_B,Real Sociedad B,Segunda División,3
CD_Legan%C3%A9s,CD Leganés,Segunda División,3
SV_Werder_Bremen_II,SV Werder Bremen II,Regionalliga Nord,3
C.D._Mafra,C.D. Mafra,Liga 3,3
Kawasaki_Frontale,Kawasaki Frontale,J1 League,3
J%C3%BAbilo_Iwata,Júbilo Iwata,J2 League,3
Jong_AZ,Jong AZ,Eerste Divisie,3
Derby_County_F.C.,Derby County F.C.,EFL Championship,3
Halmstads_BK,Halmstads BK,Allsvenskan,3
Mj%C3%A4llby_AIF,Mjällby AIF,Allsvenskan,3
Troms%C3%B8_IL,Tromsø IL,Eliteserien,3
Silkeborg_IF,Silkeborg IF,Superliga,3
Vejle_Boldklub,Vejle Boldklub,Superliga,3
Club_Africain,Club Africain,Tunisian Ligue Professionnelle 1,3
Stade_Tunisien,Stade Tunisien,Tunisian Ligue Professionnelle 1,3
Ranheim_Fotball,Ranheim Fotball,1. divisjon,3
Haras_El_Hodoud_SC,Haras El Hodoud SC,Egyptian Premier League,3
ZED_FC,ZED FC,Egyptian Premier League,3
Lierse_S.K._(1906),Lierse SK (1906),Proximus League,3
Al_Ittihad_Alexandria_Club,Al Ittihad Alexandria Club,Egyptian Premier League,3
Kalba_FC,Kalba FC,UAE Pro League,3
Al-Nasr_SC_(Dubai),Al-Nasr SC (Dubai),Unknown,3
Portimonense_S.C.,Portimonense S.C.,Liga Portugal 2,3
S.C._Beira-Mar,S.C. Beira-Mar,Campeonato de Portugal,3
Saipa_F.C.,Saipa F.C.,Azadegan League,3
Celta_de_Vigo_B,RC Celta Fortuna,Primera Federación,3
Millwall_F.C.,Millwall F.C.,EFL Championship,3
FC_Helsing%C3%B8r,FC Helsingør,2nd Division,3
Lower_Hutt_City_AFC,Lower Hutt City AFC,Central League 2,3
AS_Tren%C4%8D%C3%ADn,AS Trenčín,Slovak First Football League,3
C.D._Feirense,C.D. Feirense,Liga Portugal 2,3
Anadia_F.C.,Anadia F.C.,Campeonato de Portugal,3
San_Jose_Earthquakes,San Jose Earthquakes,Major League Soccer,3
Fortuna_Sittard,Fortuna Sittard,Eredivisie,3
Al-Faisaly_FC,Al Faisaly FC,First Division League,3
Fatih_Karag%C3%BCmr%C3%BCk_S.K.,Fatih Karagümrük S.K.,TFF 1. Lig,3
Valenciennes_FC,Valenciennes FC,Ligue 3,3
Al-Wehda_Club_(Mecca),Al-Wehda Club (Mecca),Unknown,3
Villarreal_CF_C,Villarreal CF C,Tercera Federación,3
Liverpool_F.C._(Montevideo),Liverpool F.C. (Montevideo),Liga AUF Uruguaya,3
Defensor_Sporting,Defensor Sporting,Liga AUF Uruguaya,3
Naft_Al-Wasat,Naft Al-Wasat SC,Iraqi Premier Division League,3
Al-Naft_SC,Al-Naft SC,Iraq Stars League,3
Dibba_FC,Dibba FC,UAE Pro League,3
Spezia_Calcio,Spezia Calcio,Serie C,3
Rodez_AF,Rodez AF,Ligue 2,3
USM_Alger,USM Alger,Ligue 1,3
Club_Atl%C3%A9tico_V%C3%A9lez_Sarsfield,Club Atlético Vélez Sarsfield,Primera División,3
FC_Augsburg_II,FC Augsburg II,Regionalliga Bayern,3
Al-Faisaly_SC_(Amman),Al-Faisaly SC,Jordanian Pro League,3
Al-Ahli_SC_(Amman),Al Ahli SC (Amman),Jordanian First Division League,3
Deportivo_Cali,Deportivo Cali,Categoría Primera A,3
PFC_CSKA_Moscow,PFC CSKA Moscow,Russian Premier League,3
Independiente_Santa_Fe,Independiente Santa Fe,Categoría Primera A,3
Bunyodkor,Bunyodkor,Unknown,3
FC_AGMK,FC AGMK,Uzbekistan Super League,3
NK_Istra_1961,NK Istra 1961,Croatian Football League,3
NK_Inter_Zapre%C5%A1i%C4%87,NK Inter Zaprešić,Croatian Football League,3
Monagas_S.C.,Monagas S.C.,Liga FUTVE,3
SFC_Opava,SFC Opava,Czech National Football League,2
SK_Slavia_Prague_B,SK Slavia Prague B,Czech National Football League,2
FC_Zbrojovka_Brno,FC Zbrojovka Brno,Czech National Football League,2
FK_Ban%C3%ADk_Sokolov,FK Baník Sokolov,Czech Fourth Division,2
Aris_Thessaloniki_F.C.,Aris Thessaloniki F.C.,Super League Greece,2
Bohemians_1905,Bohemians 1905,Czech First League,2
1._FC_Slov%C3%A1cko,1. FC Slovácko,Czech First League,2
FC_Vyso%C4%8Dina_Jihlava,FC Vysočina Jihlava,Czech National Football League,2
Hyde_United_F.C.,Hyde United F.C.,Northern Premier League,2
MFK_Karvin%C3%A1,MFK Karviná,Czech First League,2
Toluca_FC,Toluca FC,Liga MX,2
M%C3%A1laga_CF,Málaga CF,Segunda División,2
Al_Qadsiah_FC,Al Qadsiah FC,Saudi Pro League,2
Seattle_Sounders_FC,Seattle Sounders FC,Major League Soccer,2
Atl%C3%A9tico_Zacatepec,Zacatepec F.C.,Liga Premier,2
Mineros_de_Zacatecas,Mineros de Zacatecas,Liga de Expansión MX,2
Celaya_F.C.,Celaya F.C.,Liga Premier,2
Mamelodi_Sundowns,Mamelodi Sundowns F.C.,South African Premiership,2
Polokwane_City_F.C.,Polokwane City F.C.,South African Premiership,2
Mpumalanga_Black_Aces_F.C.,Mpumalanga Black Aces F.C.,National First Division,2
JDR_Stars_F.C.,JDR Stars F.C.,National First Division,2
Orlando_Pirates,Orlando Pirates,Unknown,2
C.D._Tondela,C.D. Tondela,Liga Portugal 2,2
Ulsan_Hyundai_FC,Ulsan HD FC,K League 1,2
Kashiwa_Reysol,Kashiwa Reysol,J1 League,2
Beijing_Guoan_F.C.,Beijing Guoan F.C.,Chinese Super League,2
Vegalta_Sendai,Vegalta Sendai,J2 League,2
Sagan_Tosu,Sagan Tosu,J2 League,2
Hamburger_SV_II,Hamburger SV II,Regionalliga Nord,2
FC_Anyang,FC Anyang,K League 1,2
Valencia_CF_Mestalla,Valencia CF Mestalla,Segunda Federación,2
Gwangju_FC,Gwangju FC,K League 1,2
FC_Hansa_Rostock,FC Hansa Rostock,3. Liga,2
SK_Beveren,SK Beveren,Belgian Pro League,2
Ey%C3%BCpspor,Eyüpspor,Süper Lig,2
Trelleborgs_FF,Trelleborgs FF,Ettan,2
Vasalunds_IF,Vasalund IF,Ettan Norra,2
Helsingborgs_IF,Helsingborgs IF,Superettan,2
Odense_Boldklub,Odense Boldklub,Superliga,2
FK_%C5%BDeljezni%C4%8Dar_Sarajevo,FK Željezničar Sarajevo,Premier League BH,2
FK_Borac_Banja_Luka,FK Borac Banja Luka,Premier League BH,2
FC_Orenburg,FC Orenburg,Russian Premier League,2
NK_Lokomotiva,NK Lokomotiva,Unknown,2
1._FC_Heidenheim,1. FC Heidenheim,2. Bundesliga,2
NK_%C5%A0iroki_Brijeg,NK Široki Brijeg,Premier League BH,2
FC_Sheriff_Tiraspol,FC Sheriff Tiraspol,Liga,2
FC_Wil,FC Wil,Swiss Challenge League,2
Vaughan_Azzurri,Vaughan Azzurri,Ontario Premier League,2
Forward_Madison_FC,Forward Madison FC,USL League One,2
San_Antonio_FC,San Antonio FC,USL Championship,2
F.C.V._Dender_E.H.,FCV Dender EH,Challenger Pro League,2
Minnesota_United_FC_2,Minnesota United FC 2,MLS Next Pro,2
Toronto_FC_III,Toronto FC Academy,MLS Next,2
Toronto_FC_II,Toronto FC II,MLS Next Pro,2
CS_St-Hubert,CS St-Hubert,Ligue1 Québec,2
Vancouver_Whitecaps,Vancouver Whitecaps,Unknown,2
Portland_Timbers,Portland Timbers,Major League Soccer,2
Colchester_United_F.C.,Colchester United F.C.,EFL League Two,2
AFC_Wimbledon,AFC Wimbledon,EFL League One,2
Austin_FC,Austin FC,Major League Soccer,2
S.C._Farense,S.C. Farense,Liga Portugal 2,2
Coritiba_Foot_Ball_Club,Coritiba Foot Ball Club,Campeonato Brasileiro Série A,2
El_Jaish_SC,El Jaish SC,Qatar Stars League,2
LASK_Linz,LASK,Austrian Bundesliga,2
FC_Pasching,FC Juniors OÖ,Regionalliga Central,2
AD_Alcorc%C3%B3n_B,AD Alcorcón B,Tercera Federación,2
Al-Markhiya_SC,Al-Markhiya SC,Qatari Second Division,2
FC_Stade_Lausanne_Ouchy,FC Stade Lausanne Ouchy,Swiss Challenge League,2
Desportivo_Brasil,Desportivo Brasil,Campeonato Paulista Série A3,2
SC_Corinthians_Paulista,SC Corinthians Paulista,Campeonato Brasileiro Série A,2
Deportivo_Maldonado,Deportivo Maldonado,Liga AUF Uruguaya,2
Clube_N%C3%A1utico_Capibaribe,Clube Náutico Capibaribe,Campeonato Brasileiro Série B,2
Al_Ahli_Saudi_FC,Al-Ahli Saudi FC,Saudi Pro League,2
PFC_Ludogorets_Razgrad,PFC Ludogorets Razgrad,First League,2
Don_Bosco_FC,Don Bosco FC,Ligue Haïtienne,2
S.D._Aucas,S.D. Aucas,Ecuadorian Serie A,2
Violette_AC,Violette AC,Ligue Haïtienne,2
North_Texas_SC,North Texas SC,MLS Next Pro,2
Atlanta_United_2,Atlanta United 2,MLS Next Pro,2
US_Avranches,US Avranches,Championnat National 2,2
SO_Cholet,SO Cholet,Régional 3,2
PFC_CSKA_Sofia,PFC CSKA Sofia,First League,2
Hobro_IK,Hobro IK,Danish 1st Division,2
Colorado_Springs_Switchbacks_FC,Colorado Springs Switchbacks FC,USL Championship,2
US_Boulogne,US Boulogne,Ligue 2,2
F.C._Vizela,F.C. Vizela,Liga Portugal 2,2
K.V._Kortrijk,K.V. Kortrijk,Unknown,2
SKN_St._P%C3%B6lten,SKN St. Pölten,2. Liga,2
UD_Melilla,UD Melilla,Segunda Federación,2
Hatayspor,Hatayspor,TFF 2. Lig,2
Al_Wehda_FC,Al Wehda FC,First Division League,2
USL_Dunkerque,USL Dunkerque,Ligue 2,2
Bologna_F.C._1909,Bologna F.C. 1909,Unknown,2
Alloa_Athletic_F.C.,Alloa Athletic F.C.,Scottish League One,2
Sunderland_A.F.C,Sunderland A.F.C,Unknown,2
Wrexham_A.F.C.,Wrexham A.F.C.,EFL Championship,2
Oud-Heverlee_Leuven,Oud-Heverlee Leuven,Belgian Pro League,2
Ayr_United_F.C.,Ayr United F.C.,Scottish Championship,2
UD_Las_Palmas,UD Las Palmas,Segunda División,2
TSV_1860_Munich,TSV 1860 Munich,3. Liga,2
Al-Hilal_FC,Al-Hilal FC,Unknown,2
FK_TSC,FK TSC,Serbian First League,2
APOEL_FC,APOEL FC,First Division,2
FFA_Centre_of_Excellence,FFA Centre of Excellence,National Youth League,2
Perth_Glory_FC,Perth Glory FC,A-League Men,2
Grazer_AK,Grazer AK,Austrian Bundesliga,2
FSV_Frankfurt,FSV Frankfurt,Regionalliga Südwest,2
Adelaide_United_FC_Youth,Adelaide United FC Youth,NPL South Australia,2
Randers_FC,Randers FC,Superliga,2
Hellas_Verona_F.C.,Hellas Verona F.C.,Unknown,2
C%C3%A1diz_CF,Cádiz CF,Segunda División,2
Xanthi_F.C.,Xanthi F.C.,Gamma Ethniki,2
Fleetwood_Town_F.C.,Fleetwood Town F.C.,EFL League Two,2
Central_Coast_Mariners_Academy,Central Coast Mariners Academy,NSW League One,2
Scunthorpe_United_F.C.,Scunthorpe United F.C.,National League,2
FC_Machida_Zelvia,FC Machida Zelvia,J1 League,2
Esporte_Clube_Vit%C3%B3ria,Esporte Clube Vitória,Campeonato Brasileiro Série A,2
Botafogo_de_Futebol_e_Regatas,Botafogo de Futebol e Regatas,Unknown,2
Sportivo_Luque%C3%B1o,Sportivo Luqueño,División de Honor,2
Club_Sol_de_Am%C3%A9rica,Club Sol de América,División Intermedia,2
FC_Ju%C3%A1rez,FC Juárez,Liga MX,2
Club_de_Gimnasia_y_Esgrima_La_Plata,Club de Gimnasia y Esgrima La Plata,Primera División,2
Club_Rubio_%C3%91u,Club Rubio Ñu,Primera División,2
Celta_de_Vigo,Celta de Vigo,Unknown,2
Sociedade_Esportiva_Palmeiras,Sociedade Esportiva Palmeiras,Unknown,2
Sport_Club_Internacional,Sport Club Internacional,Unknown,2
Delfino_Pescara_1936,Delfino Pescara 1936,Serie C,2
Sportivo_Ameliano,Sportivo Ameliano,División de Honor,2
Club_Atl%C3%A9tico_River_Plate_(Montevideo),Club Atlético River Plate (Montevideo),Uruguayan Segunda División,2
SD_Huesca,SD Huesca,Segunda División,2
Red_Bull_Bragantino,Red Bull Bragantino,Campeonato Brasileiro Série A,2
Karacabey_Belediyespor,Karacabey Belediyespor,Unknown,2
Samsunspor,Samsunspor,Süper Lig,2
Charleston_Battery,Charleston Battery,USL Championship,2
Miami_FC,Miami FC,USL Championship,2
Al-Hazem_F.C.,Al-Hazem FC,Saudi Pro League,2
Abha_Club,Abha Club,Saudi First Division League,2
Roda_JC_Kerkrade,Roda JC Kerkrade,Eerste Divisie,2
TOP_Oss,TOP Oss,Eerste Divisie,2
SD_Amorebieta,SD Amorebieta,Segunda Federación,2
I%C4%9Fd%C4%B1r_F.K.,Iğdır F.K.,TFF 1. Lig,2
FC_Emmen,FC Emmen,Eerste Divisie,2
Moreirense_F.C.,Moreirense F.C.,Primeira Liga,2
A.E._Kifisia_F.C.,A.E. Kifisia F.C.,Super League Greece,2
Al-Nasr_Dubai_SC,Al-Nasr SC (Dubai),UAE Pro League,2
1._FC_Kaiserslautern,1. FC Kaiserslautern,2. Bundesliga,2
NAC_Breda,NAC Breda,Eerste Divisie,2
Persib_Bandung,Persib Bandung,Super League,2
Jong_FC_Utrecht,Jong FC Utrecht,Eerste Divisie,2
SC_Cambuur,SC Cambuur,Eredivisie,2
Royal_Antwerp_FC,Royal Antwerp FC,Unknown,2
VfL_Wolfsburg_II,VfL Wolfsburg II,Regionalliga Nord,2
MSV_Duisburg,MSV Duisburg,3. Liga,2
Venezia_FC,Venezia FC,Serie A,2
Racing_de_Santander,Racing de Santander,Segunda División,2
SV_Elversberg,SV Elversberg,Bundesliga,2
SpVgg_Greuther_F%C3%BCrth_II,SpVgg Greuther Fürth II,Regionalliga Bayern,2
Al-Orobah_FC,Al-Orobah FC,Saudi First Division,2
NK_Maribor,NK Maribor,Slovenian PrvaLiga,2
AC_Cesena,AC Cesena,Serie A,2
Atalanta_B.C.,Atalanta B.C.,Unknown,2
Royal_Charleroi_S.C.,Royal Charleroi SC,Belgian Pro League,2
Nagoya_Grampus,Nagoya Grampus,J1 League,2
Sint-Truidense_VV,Sint-Truidense VV,Unknown,2
J.League_U-22_Selection,J.League U-22 Selection,J3 League,2
FC_Tokyo_U-23,FC Tokyo U-23,J3 League,2
Gamba_Osaka,Gamba Osaka,J1 League,2
Mito_HollyHock,Mito HollyHock,J1 League,2
FC_Juniors_O%C3%96,FC Juniors O%C3%96,Unknown,2
Ventforet_Kofu,Ventforet Kofu,J2 League,2
Sollentuna_FK,Sollentuna FK,Ettan,2
V%C3%A4ster%C3%A5s_SK_Fotboll,Västerås SK Fotboll,Allsvenskan,2
Alfreton_Town_F.C.,Alfreton Town F.C.,Northern Premier League,2
IF_Sylvia,IF Sylvia,Division 2,2
Ljungskile_SK,Ljungskile SK,Superettan,2
%C3%96stersunds_FK,Östersunds FK,Superettan,2
IK_Frej,IK Frej,Division 3,2
BK_H%C3%A4cken,BK Häcken,Allsvenskan,2
%C3%96rebro_SK,Örebro SK,Superettan,2
ES_M%C3%A9tlaoui,ES Métlaoui,Tunisian Ligue Professionnelle 1,2
Viborg_FF,Viborg FF,Danish Superliga,2
FC_St._Pauli_II,FC St. Pauli II,Unknown,2
Ismaily_SC,Ismaily SC,Egyptian Premier League,2
FK_Haugesund,FK Haugesund,1. divisjon,2
KV_Oostende,KV Oostende,Unknown,2
Lommel_S.K.,Lommel SK,Belgian Pro League,2
Empoli_FC,Empoli FC,Serie B,2
Tala%27ea_El_Gaish_SC,Tala'ea El Gaish SC,Egyptian Premier League,2
Ghazl_El_Mahalla_SC,Ghazl El Mahalla SC,Egyptian Premier League,2
Al_Mokawloon_Al_Arab_SC,Al Mokawloon Al Arab SC,Egyptian Premier League,2
CD_Mirand%C3%A9s,CD Mirandés,Segunda División,2
ENPPI_Club,ENPPI Club,Unknown,2
Petrojet_FC,Petrojet FC,Unknown,2
AC_Omonia,AC Omonia,First Division,2
Wadi_Degla_SC,Wadi Degla SC,Egyptian Premier League,2
Al-Najma_SC_(Saudi_Arabia),Al-Najma SC (Saudi Arabia),Saudi Pro League,2
Rah_Ahan_Tehran_F.C.,Rah Ahan Tehran F.C.,Tehran Province league,2
FC_Anzhi_Makhachkala,FC Anzhi Makhachkala,Russian Premier League,2
Shabab_Al_Ahli_Club,Shabab Al Ahli Club,UAE Pro League,2
Shahin_Bushehr_F.C.,Shahin Bushehr F.C.,League 2 (Iran),2
F.C._Iranjavan_Bushehr,F.C. Iranjavan Bushehr,League 2,2
F.C._Nassaji_Mazandaran,F.C. Nassaji Mazandaran,Azadegan League,2
Paykan_F.C.,Paykan F.C.,Persian Gulf Pro League,2
Syrianska_FC,Syrianska FC,Division 2,2
Amiens_SC,Amiens SC,Ligue 3,2
Saba_Qom_F.C.,Saba Qom F.C.,Persian Gulf Pro League,2
Oxford_United_F.C.,Oxford United F.C.,EFL League One,2
Southport_F.C.,Southport F.C.,National League North,2
Carlisle_United_F.C.,Carlisle United F.C.,National League,2
Grimsby_Town_F.C.,Grimsby Town F.C.,EFL League Two,2
FC_Noah,FC Noah,Armenian Premier League,2
Team_Wellington,Team Wellington FC,New Zealand Football Championship,2
HB_K%C3%B8ge,HB Køge,1st Division,2
Bristol_City_F.C.,Bristol City F.C.,EFL Championship,2
Empoli_F.C.,Empoli F.C.,Unknown,2
Tasman_United,Tasman United,ISPS Handa Premiership,2
Almere_City,Almere City,Unknown,2
Stevenage_F.C.,Stevenage F.C.,EFL League One,2
Batuque_FC,Batuque FC,São Vicente Island League,2
Sporting_Clube_da_Praia,Sporting Clube da Praia,Santiago Island League (South),2
Al_Bataeh_Club,Al Bataeh Club,UAE Pro League,2
C.F._Estrela_da_Amadora,C.F. Estrela da Amadora,Primeira Liga,2
FC_Akron_Tolyatti,FC Akron Tolyatti,Russian Premier League,2
PFC_Levski_Sofia,PFC Levski Sofia,First League,2
FC_Viktoria_K%C3%B6ln,FC Viktoria Köln,3. Liga,2
C.S._Mar%C3%ADtimo_B,C.S. Marítimo B,AF Madeira 1ª Divisão,2
C.F._Uni%C3%A3o,C.F. União,Primeira Liga,2
K.S.V._Roeselare,KSV Roeselare,Belgian First Division B,2
Sharjah_FC,Sharjah FC,UAE Pro League,2
San_Diego_FC,San Diego FC,Major League Soccer,2
S.U._Sintrense,S.U. Sintrense,Campeonato de Portugal,2
Khaleej_FC,Al-Khaleej FC,Saudi Pro League,2
Al-Raed_FC,Al Raed S.FC,Saudi First Division,2
Al-Ittihad_(Jeddah),Al-Ittihad (Jeddah),Unknown,2
Al-Taawoun_FC,Al-Taawoun FC,Unknown,2
Najran_SC,Najran S.FC,Second Division,2
Ettifaq_FC,Ettifaq FC,Unknown,2
SD_Eibar,SD Eibar,Segunda División,2
Club_Plaza_Colonia_de_Deportes,Club Plaza Colonia de Deportes,Uruguayan Segunda División,2
Montevideo_Wanderers_F.C.,Montevideo Wanderers F.C.,Liga AUF Uruguaya,2
AS_Monaco,AS Monaco,Unknown,2
Dijon_FCO,Dijon FCO,Ligue 2,2
Sanat_Naft_Abadan_F.C.,Sanat Naft Abadan F.C.,Azadegan League,2
FC_Schaffhausen,FC Schaffhausen,Promotion League,2
Port_F.C.,Port F.C.,Thai League,2
Al-Najaf_SC,Al-Najaf SC,Unknown,2
Al-Talaba,Al-Talaba,Unknown,2
Wycombe_Wanderers_F.C.,Wycombe Wanderers F.C.,EFL League One,2
Al-Kahrabaa_SC,Al-Kahrabaa SC,Unknown,2
Aarhus_Gymnastikforening,Aarhus Gymnastikforening,Superliga,2
Str%C3%B8msgodset_Toppfotball,Strømsgodset Toppfotball,1. divisjon,2
Newroz_SC,Newroz SC,Iraq Stars League,2
IL_H%C3%B8dd,IL Hødd,OBOS-ligaen,2
Stab%C3%A6k_Fotball,Stabæk Fotball,Norwegian First Division,2
Sandnes_Ulf,Sandnes Ulf,1. divisjon,2
Sandefjord_Fotball,Sandefjord Fotball,Eliteserien,2
R.W.D._Molenbeek_(2015),R.W.D. Molenbeek (2015),Unknown,2
Casa_Sports,Casa Sports,Senegal Premier League,2
Betis_Deportivo_Balompi%C3%A9,Betis Deportivo Balompi%C3%A9,Unknown,2
Shanghai_Port_F.C.,Shanghai Port F.C.,Chinese Super League,2
Clermont_Foot,Clermont Foot 63,Ligue 2,2
NA_Hussein_Dey,NA Hussein Dey,Ligue 2,2
JS_Kabylie,JS Kabylie,Ligue 1,2
Club_Atl%C3%A9tico_Banfield,Club Atlético Banfield,Primera División,2
FC_Admira_Wacker_M%C3%B6dling,Admira Wacker,2. Liga,2
Al-Baqa%27a_SC,Al-Baqa'a SC,Jordanian Pro League,2
Al-Salt_SC,Al-Salt SC,Jordanian Pro League,2
Al-Jazeera_SC_(Amman),Al-Jazeera SC (Amman),Unknown,2
Sahab_SC,Sahab SC,Jordanian Third Division League,2
Shabab_Al-Ordon_SC,Shabab Al-Ordon SC,Unknown,2
Al-Khaldiya_SC,Al-Khaldiya SC,Premier League,2
