Player,Team,Position,DOB
Simon Adingra,Ivory Coast,Winger,2002-01-01
Yan Diomande,Ivory Coast,Winger,2006-11-14
Elye Wahi,Ivory Coast,Forward,2003-01-02
Christopher Opéri,Ivory Coast,Left-back,1997-04-29
Oumar Diakité,Ivory Coast,Forward,2003-12-20
Amad Diallo,Ivory Coast,Winger,2002-07-11
Mohamed Koné,Ivory Coast,Goalkeeper,2002-03-07
Guéla Doué,Ivory Coast,Right-back,2002-10-17
Ibrahim Sangaré,Ivory Coast,Defensive midfielder,1997-12-02
Nicolas Pépé,Ivory Coast,Right winger,1995-05-29
Emmanuel Agbadou,Ivory Coast,Centre-back,1997-06-17
Evan Ndicka,Ivory Coast,Centre-back,1999-08-20
Evann Guessand,Ivory Coast,Forward,2001-07-01
Alban Lafont,Ivory Coast,Goalkeeper,1999-01-23
Bazoumana Touré,Ivory Coast,Left midfielder,2006-03-02
Parfait Guiagon,Ivory Coast,Midfielder,2001-02-22
Christ Inao Oulaï,Ivory Coast,Midfielder,2006-04-06
Zion Suzuki,Japan,Goalkeeper,2002-08-21
Yukinari Sugawara,Japan,Right-back,2000-06-28
Shōgo Taniguchi,Japan,Centre-back,1991-07-15
Kō Itakura,Japan,Centre-back,1997-01-27
Yūto Nagatomo,Japan,Full back,1986-09-12
Shūto Machino,Japan,Striker,1999-09-30
Ao Tanaka,Japan,Central midfielder,1998-09-10
Takefusa Kubo,Japan,Right winger,2001-06-04
Keisuke Gotō,Japan,Forward,2005-06-03
Ritsu Dōan,Japan,Right winger,1998-06-16
Daizen Maeda,Japan,Forward,1997-10-20
Keisuke Ōsako,Japan,Goalkeeper,1999-07-28
Keito Nakamura,Japan,Left winger,2000-07-28
Junya Itō,Japan,Winger,1993-03-09
Daichi Kamada,Japan,Central midfielder,1996-08-05
Tsuyoshi Watanabe,Japan,Centre-back,1997-02-05
Yuito Suzuki,Japan,Attacking midfielder,2001-10-25
Ayase Ueda,Japan,Striker,1998-08-28
Kōki Ogawa,Japan,Forward,1997-08-08
Ayumu Seko,Japan,Centre back,2000-06-07
Hiroki Itō,Japan,Centre-back,1999-05-12
Takehiro Tomiyasu,Japan,Defender,1998-11-05
Tomoki Hayakawa,Japan,Goalkeeper,1999-03-03
Kaishū Sano,Japan,Defensive midfielder,2000-12-30
Junnosuke Suzuki,Japan,Centre-back,2003-07-12
Kento Shiogai,Japan,Forward,2005-03-26
Bart Verbruggen,Netherlands,Goalkeeper,2002-08-18
Lutsharel Geertruida,Netherlands,Right-back,2000-07-18
Marten de Roon,Netherlands,Defensive midfielder,1991-03-29
Virgil van Dijk,Netherlands,Centre-back,1991-07-08
Nathan Aké,Netherlands,Centre-back,1995-02-18
Jan Paul van Hecke,Netherlands,Centre-back,2000-06-08
Justin Kluivert,Netherlands,Attacking midfielder,1999-05-05
Ryan Gravenberch,Netherlands,Defensive midfielder,2002-05-16
Wout Weghorst,Netherlands,Striker,1992-08-07
Memphis Depay,Netherlands,Forward,1994-02-13
Cody Gakpo,Netherlands,Left winger,1999-05-07
Mats Wieffer,Netherlands,Right-back,1999-11-16
Robin Roefs,Netherlands,Goalkeeper,2003-01-17
Tijjani Reijnders,Netherlands,Midfielder,1998-07-29
Micky van de Ven,Netherlands,Centre-back,2001-04-19
Guus Til,Netherlands,Attacking midfielder,1997-12-22
Noa Lang,Netherlands,Left winger,1999-06-17
Donyell Malen,Netherlands,Winger,1999-01-19
Brian Brobbey,Netherlands,Striker,2002-02-01
Teun Koopmeiners,Netherlands,Midfielder,1998-02-28
Frenkie de Jong,Netherlands,Midfielder,1997-05-12
Denzel Dumfries,Netherlands,Right-back,1996-04-18
Mark Flekken,Netherlands,Goalkeeper,1993-06-13
Crysencio Summerville,Netherlands,Winger,2001-10-30
Jorrel Hato,Netherlands,Centre-back,2006-03-07
Quinten Timber,Netherlands,Midfielder,2001-06-17
Jacob Widell Zetterström,Sweden,Goalkeeper,1998-07-11
Gustaf Lagerbielke,Sweden,Centre-back,2000-04-10
Victor Lindelöf,Sweden,Centre-back,1994-07-17
Isak Hien,Sweden,Centre-back,1999-01-13
Gabriel Gudmundsson,Sweden,Left back,1999-04-29
Herman Johansson,Sweden,Right-back,1997-10-16
Lucas Bergvall,Sweden,Midfielder,2006-02-02
Daniel Svensson,Sweden,Central midfielder,2002-02-12
Alexander Isak,Sweden,Striker,1999-09-21
Benjamin Nygren,Sweden,Winger,2001-07-08
Anthony Elanga,Sweden,Forward,2002-04-27
Viktor Johansson,Sweden,Goalkeeper,1998-09-14
Ken Sema,Sweden,Midfielder,1993-09-30
Hjalmar Ekdal,Sweden,Centre-back,1998-10-21
Carl Starfelt,Sweden,Centre-back,1995-06-01
Jesper Karlström,Sweden,Midfielder,1995-06-21
Viktor Gyökeres,Sweden,Striker,1998-06-04
Yasin Ayari,Sweden,Midfielder,2003-10-06
Mattias Svanberg,Sweden,Midfielder,1999-01-05
Eric Smith,Sweden,Centre-back,1997-01-08
Alexander Bernhardsson,Sweden,Forward,1998-09-08
Besfort Zeneli,Sweden,Midfielder,2002-11-21
Kristoffer Nordfeldt,Sweden,Goalkeeper,1989-06-23
Elliot Stroud,Sweden,Left-back,2002-06-22
Gustaf Nilsson,Sweden,Forward,1997-05-23
Taha Ali,Sweden,Winger,1998-07-01
Mouhib Chamakh,Tunisia,Goalkeeper,2001-08-25
Ali Abdi,Tunisia,Left-back,1993-12-20
Montassar Talbi,Tunisia,Centre-back,1998-05-26
Omar Rekik,Tunisia,Centre-back,2001-12-20
Adem Arous,Tunisia,Centre-back,2004-07-17
Dylan Bronn,Tunisia,Defender,1995-06-19
Elias Achouri,Tunisia,Midfielder,1999-02-10
Elias Saad,Tunisia,Left winger,1999-12-27
Hazem Mastouri,Tunisia,Striker,1997-06-18
Hannibal Mejbri,Tunisia,Midfielder,2003-01-21
Ismaël Gharbi,Tunisia,Midfielder,2004-04-10
Mortadha Ben Ouanes,Tunisia,Left-back,1994-07-02
Rani Khedira,Tunisia,Defensive midfielder,1994-01-27
Khalil Ayari,Tunisia,Winger,2005-02-02
Hadj Mahmoud,Tunisia,Defensive midfielder,2000-04-24
Aymen Dahmen,Tunisia,Goalkeeper,1997-01-28
Ellyes Skhiri,Tunisia,Defensive midfielder,1995-05-10
Rayan Elloumi,Tunisia,Forward,2007-09-17
Firas Chaouat,Tunisia,Striker,1996-05-08
Yan Valery,Tunisia,Right-back,1999-02-22
Mohamed Amine Ben Hamida,Tunisia,Left back,1995-12-15
Sabri Ben Hessen,Tunisia,Goalkeeper,1996-06-13
Moutaz Neffati,Tunisia,Right-back,2004-09-04
Raed Chikhaoui,Tunisia,Center-back,2004-06-09
Anis Ben Slimane,Tunisia,Midfielder,2001-03-16
Sebastian Tounekti,Tunisia,Winger,2002-07-13
Thibaut Courtois,Belgium,Goalkeeper,1992-05-11
Zeno Debast,Belgium,Centre-back,2003-10-24
Arthur Theate,Belgium,Centre-back,2000-05-25
Brandon Mechele,Belgium,Centre-back,1993-01-28
Maxim De Cuyper,Belgium,Full-back,2000-12-22
Axel Witsel,Belgium,Defensive midfielder,1989-01-12
Kevin De Bruyne,Belgium,Midfielder,1991-06-28
Youri Tielemans,Belgium,Midfielder,1997-05-07
Romelu Lukaku,Belgium,Striker,1993-05-13
Leandro Trossard,Belgium,Winger,1994-12-04
Jérémy Doku,Belgium,Winger,2002-05-27
Senne Lammens,Belgium,Goalkeeper,2002-07-07
Mike Penders,Belgium,Goalkeeper,2005-07-31
Dodi Lukébakio,Belgium,Right winger,1997-09-24
Thomas Meunier,Belgium,Right-back,1991-09-12
Koni De Winter,Belgium,Centre-back,2002-06-12
Charles De Ketelaere,Belgium,Attacking midfielder,2001-03-10
Joaquin Seys,Belgium,Left-back,2005-03-28
Diego Moreira,Belgium,Left-back,2004-08-06
Hans Vanaken,Belgium,Attacking midfielder,1992-08-24
Timothy Castagne,Belgium,Full back,1995-12-05
Alexis Saelemaekers,Belgium,Winger,1999-06-27
Nicolas Raskin,Belgium,Midfielder,2001-02-23
Amadou Onana,Belgium,Defensive midfielder,2001-08-16
Nathan Ngoy,Belgium,Defender,2003-06-10
Matias Fernandez-Pardo,Belgium,Wide midfielder,2005-02-03
Mohamed El Shenawy,Egypt,Goalkeeper,1988-12-18
Yasser Ibrahim,Egypt,Centre-back,1993-02-10
Mohamed Hany,Egypt,Right-back,1996-02-02
Hossam Abdelmaguid,Egypt,Centre-back,2001-04-30
Ramy Rabia,Egypt,Centre-back,1993-05-20
Mohamed Abdelmonem,Egypt,Centre-back,1999-02-01
Trézéguet,Egypt,Left winger,1994-10-01
Emam Ashour,Egypt,Midfielder,1998-02-20
Hamza Abdelkarim,Egypt,Striker,2008-01-01
Mohamed Salah,Egypt,Right winger,1992-06-15
Mostafa Ziko,Egypt,Left winger,1997-04-27
Haissem Hassan,Egypt,Forward,2002-02-08
Ahmed Fatouh,Egypt,Left-back,1998-03-22
Hamdy Fathy,Egypt,Defensive midfielder,1994-09-29
Karim Hafez,Egypt,Left back,1996-03-12
El Mahdy Soliman,Egypt,Goalkeeper,1987-06-08
Mohanad Lasheen,Egypt,Defensive midfielder,1996-05-29
Nabil Emad,Egypt,Defensive midfielder,1996-04-06
Marwan Attia,Egypt,Midfielder,1998-08-01
Ibrahim Adel,Egypt,Left winger,2001-04-23
Mahmoud Saber,Egypt,Central midfielder,2001-07-30
Omar Marmoush,Egypt,Striker,1999-02-07
Mostafa Shobeir,Egypt,Goalkeeper,2000-05-15
Tarek Alaa,Egypt,Right-back,2002-01-05
Zizo,Egypt,Winger,1996-01-10
Mohamed Alaa,Egypt,Goalkeeper,1999-01-01
Alireza Beiranvand,Iran,Goalkeeper,1992-09-21
Saleh Hardani,Iran,Right-back,1998-12-26
Ehsan Hajsafi,Iran,Left-back,1990-02-25
Shojae Khalilzadeh,Iran,Centre-back,1989-05-14
Milad Mohammadi,Iran,Left-back,1993-09-29
Saeid Ezatolahi,Iran,Defensive midfielder,1996-10-01
Alireza Jahanbakhsh,Iran,Winger,1993-08-11
Mohammad Mohebi,Iran,Midfielder,1998-12-20
Mehdi Taremi,Iran,Striker,1992-07-18
Mehdi Ghayedi,Iran,Winger,1998-12-05
Ali Alipour,Iran,Forward,1995-11-11
Payam Niazmand,Iran,Goalkeeper,1995-04-06
Hossein Kanaanizadegan,Iran,Centre back,1994-03-23
Saman Ghoddos,Iran,Attacking midfielder,1993-09-06
Rouzbeh Cheshmi,Iran,Defensive midfielder,1993-07-24
Mahdi Torabi,Iran,Winger,1994-09-10
Arya Yousefi,Iran,Right-back,2002-04-22
Amirhossein Hosseinzadeh,Iran,Winger,2000-10-30
Ali Nemati,Iran,Centre-back,1996-02-08
Shahriyar Moghanlou,Iran,Centre-forward,1994-12-21
Mohammad Ghorbani,Iran,Defensive midfielder,2001-10-07
Hossein Hosseini,Iran,Goalkeeper,1992-06-30
Ramin Rezaeian,Iran,Right back,1990-03-21
Dennis Eckert,Iran,Forward,1997-01-09
Danial Eiri,Iran,Defender,2003-10-26
Amirmohammad Razzaghinia,Iran,Midfielder,2006-04-11
Max Crocombe,New Zealand,Goalkeeper,1993-08-12
Tim Payne,New Zealand,Midfielder,1994-01-10
Francis de Vries,New Zealand,Defender,1994-11-28
Tyler Bindon,New Zealand,Centre-back,2005-01-27
Michael Boxall,New Zealand,Defender,1988-08-18
Joe Bell,New Zealand,Defensive midfielder,1999-04-27
Logan Rogerson,New Zealand,Winger,1998-05-28
Marko Stamenić,New Zealand,Midfielder,2002-02-19
Chris Wood,New Zealand,Forward,1991-12-07
Sarpreet Singh,New Zealand,Attacking midfielder,1999-02-20
Elijah Just,New Zealand,Right winger,2000-05-01
Alex Paulsen,New Zealand,Goalkeeper,2002-07-04
Liberato Cacace,New Zealand,Left-back,2000-09-27
Alex Rufer,New Zealand,Defensive midfielder,1996-06-12
Nando Pijnaker,New Zealand,Centre back,1999-02-25
Finn Surman,New Zealand,Central defender,2003-09-23
Kosta Barbarouses,New Zealand,Winger,1990-02-19
Ben Waine,New Zealand,Forward,2001-06-11
Ben Old,New Zealand,Attacking midfielder,2002-08-13
Callum McCowatt,New Zealand,Left winger,1999-04-30
Jesse Randall,New Zealand,Forward,2002-08-19
Michael Woud,New Zealand,Goalkeeper,1999-01-16
Ryan Thomas,New Zealand,Midfielder,1994-12-20
Callan Elliot,New Zealand,Right back,1999-07-07
Lachlan Bayliss,New Zealand,Central midfielder,2002-07-24
Tommy Smith,New Zealand,Centre-back,1990-03-31
Vozinha,Cape Verde,Goalkeeper,1986-06-03
Stopira,Cape Verde,Left-back,1988-05-20
Diney,Cape Verde,Centre-back,1995-01-17
Pico,Cape Verde,Centre-back,1992-06-17
Logan Costa,Cape Verde,Centre-back,2001-04-01
Kevin Pina,Cape Verde,Defensive midfielder,1997-01-27
Jovane Cabral,Cape Verde,Winger,1998-06-14
João Paulo,Cape Verde,Midfielder,1998-05-26
Gilson Benchimol,Cape Verde,Striker,2001-12-29
Jamiro Monteiro,Cape Verde,Midfielder,1993-11-23
Garry Rodrigues,Cape Verde,Winger,1990-11-27
Márcio Rosa,Cape Verde,Goalkeeper,1997-02-23
Sidny Lopes Cabral,Cape Verde,Full-back,2002-09-18
Deroy Duarte,Cape Verde,Midfielder,1999-07-04
Laros Duarte,Cape Verde,Midfielder,1997-02-28
Yannick Semedo,Cape Verde,Midfielder,1995-12-29
Willy Semedo,Cape Verde,Winger,1994-04-27
Telmo Arcanjo,Cape Verde,Midfielder,2001-06-21
Dailon Livramento,Cape Verde,Forward,2001-05-04
Ryan Mendes,Cape Verde,Winger,1990-01-08
Nuno da Costa,Cape Verde,Forward,1991-02-10
Steven Moreira,Cape Verde,Right-back,1994-08-13
CJ dos Santos,Cape Verde,Goalkeeper,2000-08-24
Wagner Pina,Cape Verde,Right-back,2002-11-03
Kelvin Pires,Cape Verde,Centre-back,2000-06-05
Hélio Varela,Cape Verde,Winger,2002-05-03
Nawaf Al-Aqidi,Saudi Arabia,Goalkeeper,2000-05-10
Ali Majrashi,Saudi Arabia,Right back,1999-10-02
Ali Lajami,Saudi Arabia,Defender,1996-04-24
Abdulelah Al-Amri,Saudi Arabia,Centre-back,1997-01-15
Hassan Al-Tambakti,Saudi Arabia,Centre-back,1999-02-09
Nasser Al-Dawsari,Saudi Arabia,Left-back,1998-12-19
Musab Al-Juwayr,Saudi Arabia,Midfielder,2003-06-20
Ayman Yahya,Saudi Arabia,Winger,2001-05-14
Firas Al-Buraikan,Saudi Arabia,Striker,2000-05-14
Salem Al-Dawsari,Saudi Arabia,Left winger,1991-08-19
Saleh Al-Shehri,Saudi Arabia,Striker,1993-11-01
Saud Abdulhamid,Saudi Arabia,Right-back,1999-07-18
Nawaf Boushal,Saudi Arabia,Right-back,1999-09-16
Hassan Kadesh,Saudi Arabia,Left-back,1992-09-26
Abdullah Al-Khaibari,Saudi Arabia,Defensive midfielder,1996-08-16
Ziyad Al-Johani,Saudi Arabia,Midfielder,2001-11-11
Khalid Al-Ghannam,Saudi Arabia,Winger,2000-11-08
Alaa Al-Hejji,Saudi Arabia,Midfielder,1995-12-03
Abdullah Al-Hamdan,Saudi Arabia,Forward,1999-09-13
Sultan Mandash,Saudi Arabia,Winger,1994-10-17
Mohammed Al-Owais,Saudi Arabia,Goalkeeper,1991-10-10
Ahmed Al-Kassar,Saudi Arabia,Goalkeeper,1991-05-08
Mohamed Kanno,Saudi Arabia,Midfielder,1994-09-22
Moteb Al-Harbi,Saudi Arabia,Left back,2000-02-20
Jehad Thakri,Saudi Arabia,Defender,2001-07-21
Mohammed Abu Al-Shamat,Saudi Arabia,Right-back,2002-08-11
David Raya,Spain,Goalkeeper,1995-09-15
Marc Pubill,Spain,Right-back,2003-06-20
Álex Grimaldo,Spain,Left wing-back,1995-09-20
Eric García,Spain,Defender,2001-01-09
Marcos Llorente,Spain,Midfielder,1995-01-30
Mikel Merino,Spain,Midfielder,1996-06-22
Ferran Torres,Spain,Forward,2000-02-29
Fabián Ruiz,Spain,Central midfielder,1996-04-03
Gavi,Spain,Central midfielder,2004-08-05
Dani Olmo,Spain,Attacking midfielder,1998-05-07
Yéremy Pino,Spain,Attacking midfielder,2002-10-20
Pedro Porro,Spain,Right-back,1999-09-13
Joan Garcia,Spain,Goalkeeper,2001-05-04
Aymeric Laporte,Spain,Centre-back,1994-05-27
Álex Baena,Spain,Left midfielder,2001-07-20
Rodri,Spain,Defensive midfielder,1996-06-22
Nico Williams,Spain,Winger,2002-07-12
Martín Zubimendi,Spain,Defensive midfielder,1999-02-02
Lamine Yamal,Spain,Right winger,2007-07-13
Pedri,Spain,Midfielder,2002-11-25
Mikel Oyarzabal,Spain,Forward,1997-04-21
Pau Cubarsí,Spain,Centre-back,2007-01-22
Unai Simón,Spain,Goalkeeper,1997-06-11
Marc Cucurella,Spain,Left-back,1998-07-22
Víctor Muñoz,Spain,Left winger,2003-07-13
Borja Iglesias,Spain,Striker,1993-01-17
Sergio Rochet,Uruguay,Goalkeeper,1993-03-23
José María Giménez,Uruguay,Centre-back,1995-01-20
Sebastián Cáceres,Uruguay,Centre-back,1999-08-18
Ronald Araújo,Uruguay,Centre-back,1999-03-07
Manuel Ugarte,Uruguay,Defensive midfielder,2001-04-11
Rodrigo Bentancur,Uruguay,Central midfielder,1997-06-25
Nicolás de la Cruz,Uruguay,Central midfielder,1997-06-01
Federico Valverde,Uruguay,Central midfielder,1998-07-22
Darwin Núñez,Uruguay,Striker,1999-06-24
Giorgian de Arrascaeta,Uruguay,Attacking midfielder,1994-06-01
Facundo Pellistri,Uruguay,Winger,2001-12-20
Santiago Mele,Uruguay,Goalkeeper,1997-09-06
Guillermo Varela,Uruguay,Right-back,1993-03-24
Agustín Canobbio,Uruguay,Attacking midfielder,1998-10-01
Emiliano Martínez,Uruguay,Midfielder,1999-08-17
Mathías Olivera,Uruguay,Left-back,1997-10-31
Matías Viña,Uruguay,Left-back,1997-11-09
Brian Rodríguez,Uruguay,Winger,2000-05-20
Rodrigo Aguirre,Uruguay,Striker,1994-10-01
Maximiliano Araújo,Uruguay,Left winger,2000-02-15
Federico Viñas,Uruguay,Forward,1998-06-30
Joaquín Piquerez,Uruguay,Left-back,1998-08-24
Fernando Muslera,Uruguay,Goalkeeper,1986-06-16
Santiago Bueno,Uruguay,Centre-back,1998-11-09
Juan Manuel Sanabria,Uruguay,Midfielder,2000-03-29
Rodrigo Zalazar,Uruguay,Midfielder,1999-08-12
Brice Samba,France,Goalkeeper,1994-04-25
Malo Gusto,France,Right-back,2003-05-19
Lucas Digne,France,Left-back,1993-07-20
Dayot Upamecano,France,Centre-back,1998-10-27
Jules Koundé,France,Defender,1998-11-12
Manu Koné,France,Midfielder,2001-05-17
Ousmane Dembélé,France,Forward,1997-05-15
Aurélien Tchouaméni,France,Defensive midfielder,2000-01-27
Marcus Thuram,France,Forward,1997-08-06
Kylian Mbappé,France,Forward,1998-12-20
Michael Olise,France,Winger,2001-12-12
Bradley Barcola,France,Forward,2002-09-02
N'Golo Kanté,France,Defensive midfielder,1991-03-29
Adrien Rabiot,France,Midfielder,1995-04-03
Ibrahima Konaté,France,Centre-back,1999-05-25
Mike Maignan,France,Goalkeeper,1995-07-03
William Saliba,France,Centre-back,2001-03-24
Warren Zaïre-Emery,France,Midfielder,2006-03-08
Théo Hernandez,France,Left-back,1997-10-06
Désiré Doué,France,Attacking midfielder,2005-06-03
Lucas Hernandez,France,Centre-back,1996-02-14
Jean-Philippe Mateta,France,Striker,1997-06-28
Robin Risser,France,Goalkeeper,2004-12-02
Rayan Cherki,France,Attacking midfielder,2003-08-17
Maghnes Akliouche,France,Attacking midfielder,2002-02-25
Maxence Lacroix,France,Centre-back,2000-04-06
Fahad Talib,Iraq,Goalkeeper,1994-10-21
Rebin Sulaka,Iraq,Centre back,1992-04-12
Hussein Ali,Iraq,Right-back,2002-03-01
Zaid Tahseen,Iraq,Center back,2001-01-29
Akam Hashim,Iraq,Centre-back,1998-08-16
Munaf Younis,Iraq,Centre-back,1996-11-16
Youssef Amyn,Iraq,Winger,2003-08-21
Ibrahim Bayesh,Iraq,Midfielder,2000-05-01
Ali Al-Hamadi,Iraq,Forward,2002-03-01
Mohanad Ali,Iraq,Striker,2000-06-20
Ahmed Qasem,Iraq,Attacking midfielder,2003-07-12
Jalal Hassan,Iraq,Goalkeeper,1991-05-18
Ali Yousif,Iraq,Forward,1996-01-19
Zidane Iqbal,Iraq,Midfielder,2003-04-27
Ahmed Maknzi,Iraq,Left-back,2001-09-24
Amir Al-Ammari,Iraq,Midfielder,1997-07-27
Ali Jasim,Iraq,Forward,2004-01-20
Aymen Hussein,Iraq,Striker,1996-03-22
Kevin Yakob,Iraq,Midfielder,2000-10-10
Aimar Sher,Iraq,Midfielder,2002-12-20
Marko Farji,Iraq,Forward,2004-03-16
Ahmed Basil,Iraq,Goalkeeper,1996-08-19
Merchas Doski,Iraq,Left-back,1999-12-07
Zaid Ismail,Iraq,Defensive midfielder,2002-01-03
Mustafa Saadoon,Iraq,Right back,2001-05-25
Frans Putros,Iraq,Centre-back,1993-07-14
Ørjan Nyland,Norway,Goalkeeper,1990-09-10
Morten Thorsby,Norway,Defensive midfielder,1996-05-05
Kristoffer Ajer,Norway,Centre-back,1998-04-17
Leo Østigård,Norway,Centre-back,1999-11-28
David Møller Wolfe,Norway,Left-back,2002-04-23
Patrick Berg,Norway,Defensive midfielder,1997-11-24
Alexander Sørloth,Norway,Striker,1995-12-05
Sander Berge,Norway,Defensive midfielder,1998-02-14
Erling Haaland,Norway,Striker,2000-07-21
Martin Ødegaard,Norway,Midfielder,1998-12-17
Jørgen Strand Larsen,Norway,Striker,2000-02-06
Sander Tangvik,Norway,Goalkeeper,2002-11-29
Egil Selvik,Norway,Goalkeeper,1997-07-30
Fredrik Aursnes,Norway,Midfielder,1995-12-10
Fredrik André Bjørkan,Norway,Left-back,1998-08-21
Marcus Holmgren Pedersen,Norway,Right-back,2000-07-16
Torbjørn Heggem,Norway,Centre-back,1999-01-12
Kristian Thorstvedt,Norway,Midfielder,1999-03-13
Thelo Aasgaard,Norway,Midfielder,2002-05-02
Antonio Nusa,Norway,Winger,2005-04-17
Andreas Schjelderup,Norway,Left winger,2004-06-01
Oscar Bobb,Norway,Midfielder,2003-07-12
Jens Petter Hauge,Norway,Left winger,1999-10-12
Sondre Langås,Norway,Defender,2001-02-02
Henrik Falchener,Norway,Centre-back,2003-05-08
Julian Ryerson,Norway,Full-back,1997-11-17
Yehvann Diouf,Senegal,Goalkeeper,1999-11-16
Mamadou Sarr,Senegal,Centre-back,2005-08-29
Kalidou Koulibaly,Senegal,Centre-back,1991-06-20
Abdoulaye Seck,Senegal,Centre-back,1992-06-04
Idrissa Gueye,Senegal,Defensive midfielder,1989-09-26
Pathé Ciss,Senegal,Central midfielder,1994-03-16
Assane Diao,Senegal,Winger,2005-09-07
Lamine Camara,Senegal,Midfielder,2004-01-01
Bamba Dieng,Senegal,Forward,2000-03-23
Sadio Mané,Senegal,Winger,1992-04-10
Nicolas Jackson,Senegal,Striker,2001-06-20
Cherif Ndiaye,Senegal,Forward,1996-01-23
Iliman Ndiaye,Senegal,Wide midfielder,2000-03-06
Ismail Jakobs,Senegal,Left-back,1999-08-17
Krépin Diatta,Senegal,Winger,1999-02-25
Édouard Mendy,Senegal,Goalkeeper,1992-03-01
Pape Matar Sarr,Senegal,Midfielder,2002-09-14
Ismaïla Sarr,Senegal,Forward,1998-02-25
Moussa Niakhaté,Senegal,Centre-back,1996-03-08
Ibrahim Mbaye,Senegal,Forward,2008-01-24
Habib Diarra,Senegal,Midfielder,2004-01-03
Bara Sapoko Ndiaye,Senegal,Midfielder,2007-12-31
Mory Diaw,Senegal,Goalkeeper,1993-06-22
Antoine Mendy,Senegal,Right-back,2004-05-27
El Hadji Malick Diouf,Senegal,Left-back,2004-12-29
Pape Gueye,Senegal,Defensive midfielder,1999-01-24
Melvin Mastil,Algeria,Goalkeeper,2000-02-19
Aïssa Mandi,Algeria,Centre-back,1991-10-22
Achref Abada,Algeria,Centre-back,1999-06-15
Mohamed Amine Tougai,Algeria,Centre-back,2000-01-22
Zineddine Belaïd,Algeria,Centre-back,1999-03-20
Ramiz Zerrouki,Algeria,Central midfielder,1998-05-26
Riyad Mahrez,Algeria,Right winger,1991-02-21
Houssem Aouar,Algeria,Midfielder,1998-06-30
Amine Gouiri,Algeria,Striker,2000-02-16
Farès Chaïbi,Algeria,Winger,2002-11-28
Anis Hadj Moussa,Algeria,Forward,2002-02-11
Nadhir Benbouali,Algeria,Forward,2000-04-17
Jaouen Hadjam,Algeria,Left-back,2003-03-26
Hicham Boudaoui,Algeria,Midfielder,1999-09-23
Rayan Aït-Nouri,Algeria,Left-back,2001-06-06
Oussama Benbot,Algeria,Goalkeeper,1994-10-11
Rafik Belghali,Algeria,Right-back,2002-06-07
Mohamed Amoura,Algeria,Striker,2000-05-09
Nabil Bentaleb,Algeria,Defensive midfielder,1994-11-24
Adil Boulbina,Algeria,Midfielder,2003-05-02
Ramy Bensebaini,Algeria,Left-back,1995-04-16
Ibrahim Maza,Algeria,Forward,2005-11-24
Luca Zidane,Algeria,Goalkeeper,1998-05-13
Yacine Titraoui,Algeria,Midfielder,2003-07-26
Farès Ghedjemis,Algeria,Winger,2002-09-06
Samir Chergui,Algeria,Centre-back,1999-02-06
Juan Musso,Argentina,Goalkeeper,1994-05-06
Marcos Senesi,Argentina,Centre-back,1997-05-10
Nicolás Tagliafico,Argentina,Left-back,1992-08-31
Gonzalo Montiel,Argentina,Right-back,1997-01-01
Leandro Paredes,Argentina,Defensive midfielder,1994-06-29
Lisandro Martínez,Argentina,Centre-back,1998-01-18
Rodrigo De Paul,Argentina,Midfielder,1994-05-24
Valentín Barco,Argentina,Left back,2004-07-23
Julián Alvarez,Argentina,Forward,2000-01-31
Lionel Messi,Argentina,Forward,1987-06-24
Giovani Lo Celso,Argentina,Midfielder,1996-04-09
Gerónimo Rulli,Argentina,Goalkeeper,1992-05-20
Cristian Romero,Argentina,Centre-back,1998-04-27
Exequiel Palacios,Argentina,Midfielder,1998-10-05
Nicolás González,Argentina,Winger,1998-04-06
Thiago Almada,Argentina,Attacking midfielder,2001-04-26
Giuliano Simeone,Argentina,Winger,2002-12-18
Nico Paz,Argentina,Attacking midfielder,2004-09-08
Nicolás Otamendi,Argentina,Centre-back,1988-02-12
Alexis Mac Allister,Argentina,Midfielder,1998-12-24
José Manuel López,Argentina,Striker,2000-12-06
Lautaro Martínez,Argentina,Forward,1997-08-22
Emiliano Martínez,Argentina,Goalkeeper,1992-09-02
Enzo Fernández,Argentina,Midfielder,2001-01-17
Facundo Medina,Argentina,Centre-back,1999-05-28
Nahuel Molina,Argentina,Right-back,1998-04-06
Alexander Schlager,Austria,Goalkeeper,1996-02-01
David Affengruber,Austria,Centre-back,2001-03-19
Kevin Danso,Austria,Centre-back,1998-09-19
Xaver Schlager,Austria,Central midfielder,1997-09-28
Stefan Posch,Austria,Right-back,1997-05-14
Nicolas Seiwald,Austria,Defensive midfielder,2001-05-04
Marko Arnautović,Austria,Striker,1989-04-19
David Alaba,Austria,Centre-back,1992-06-24
Marcel Sabitzer,Austria,Midfielder,1994-03-17
Florian Grillitsch,Austria,Defensive midfielder,1995-08-07
Michael Gregoritsch,Austria,Winger,1994-04-18
Florian Wiegele,Austria,Goalkeeper,2001-03-21
Patrick Pentz,Austria,Goalkeeper,1997-01-02
Saša Kalajdžić,Austria,Striker,1997-07-07
Philipp Lienhart,Austria,Centre-back,1996-07-11
Phillipp Mwene,Austria,Full-back,1994-01-29
Carney Chukwuemeka,Austria,Attacking midfielder,2003-10-20
Romano Schmid,Austria,Attacking midfielder,2000-01-27
Dejan Ljubičić,Austria,Midfielder,1997-10-08
